As Examiner,Là người kiểm tra,
As Supervisor,Làm giám sát viên,
Assessment,"Thẩm định, lượng định, đánh giá",
Assessment Criteria,Tiêu chí đánh giá,
Assessment Criteria Group,Các tiêu chí đánh giá Nhóm,
Assessment Group,Nhóm đánh giá,
Assessment Group Name,Tên Nhóm Đánh giá,
Assessment Group: ,Nhóm đánh giá:,
Assessment Name,Tên Đánh giá,
Assessment Plan,Kế hoạch đánh giá,
Assessment Plan Criteria,Tiêu chuẩn Kế hoạch đánh giá,
Assessment Plan Name,Tên kế hoạch đánh giá,
Assessment Plan Status,Kế hoạch Đánh giá Tình trạng,
Assessment Report,Báo cáo đánh giá,
Assessment Result,Kết quả đánh giá,
Assessment Result Detail,Đánh giá kết quả chi tiết,
Assessment Result Tool,Công cụ đánh giá kết quả,
Assessment Result record {0} already exists.,Bản ghi kết quả đánh giá {0} đã tồn tại.,
Assessment Terms,Điều khoản đánh giá,
Attendance,Điểm danh,
Attendance Based On,Điểm danh dựa trên,
Attendance Based on Course Schedule,Điểm danh dựa trên Lịch trình khóa học,
Attendance Freeze Date,Ngày đóng băng,
Attendance cannot be marked for future dates.,Điểm danh không thể được đánh dấu cho các ngày trong tương lai.,
Attendance cannot be marked for {0} as it is a holiday.,Không thể đánh dấu điểm danh cho {0} vì đó là ngày lễ.,
Attendance cannot be marked outside of Academic Year {0},Không được đánh dấu điểm chuyên cần ngoài Năm học {0},
Attendance has been marked successfully.,Tham dự đã được đánh dấu thành công.,
Author,tác giả,
B+,B+,
B-,B-,
Based On,Dựa trên,
Batch,Lô,
Batch Name,Tên đợt hàng,
Batch is mandatory in row {0},Lô là bắt buộc ở hàng {0},
Batch: ,Hàng loạt:,
Blood Group,Nhóm máu,
Boarding Student,Sinh viên nội trú,
"By default, a new User is created for every new Student. If enabled, no new User will be created when a new Student is created.","Theo mặc định, một Người dùng mới được tạo cho mỗi Học sinh mới. Nếu được bật, sẽ không có Người dùng mới nào được tạo khi Sinh viên mới được tạo.",
"By default, the Sales Invoice Created will be in Draft Mode. If enabled, the Sales Invoice will be submitted once created.","Theo mặc định, Hóa đơn bán hàng được tạo sẽ ở Chế độ Nháp. Nếu được bật, Hóa đơn bán hàng sẽ được gửi ngay sau khi tạo.",
"By default, the Sales Invoice's  Posting Date will be equal to Fee Schedule's Posting Date. If disabled then Sales Invoice's Posting Date will be today's date.","Theo mặc định, Ngày hạch toán của Hóa đơn bán hàng sẽ bằng với Ngày hạch toán của Lịch trình phí. Nếu tắt, Ngày hạch toán của Hóa đơn bán hàng sẽ là ngày hôm nay.",
"By default, the Sales Order Created will be in Draft Mode. If enabled, the Sales Order will be submitted once created.","Theo mặc định, Đơn hàng bán hàng được tạo sẽ ở Chế độ Nháp. Nếu được bật, Đơn hàng bán hàng sẽ được gửi ngay sau khi tạo.",
"By default, the Sales Order's  Transaction Date will be equal to Fee Schedule's Transaction Date. If disabled then Sales Order's Transaction Date will be today's date.","Theo mặc định, Ngày giao dịch của Đơn hàng bán hàng sẽ bằng với Ngày giao dịch của Lịch trình phí. Nếu tắt, Ngày giao dịch của Đơn hàng bán hàng sẽ là ngày hôm nay.",
Can't create standard criteria. Please rename the criteria,Không thể tạo tiêu chuẩn chuẩn. Vui lòng đổi tên tiêu chí,
Cancelled,Đã hủy,
Cannot enroll more than {0} students for this student group.,Không thể ghi danh hơn {0} sinh viên cho nhóm sinh viên này.,
Cannot mark attendance for future dates.,Không thể đánh dấu sự tham dự cho các ngày trong tương lai.,
Cannot set multiple Item Defaults for a company.,Không thể đặt nhiều Giá Trị Mặc Định Mặt Hàng cho một công ty.,
Category,Danh mục,
Check all,Kiểm tra tất cả,
Check this if the Student is residing at the Institute's Hostel.,Kiểm tra điều này nếu Sinh viên đang cư trú tại Nhà nghỉ của Viện.,
City,Thành phố,
Class Schedule Color,Màu Thời khóa biểu,
Color,Màu sắc,
Comment,Bình luận,
Company,Công ty,
Compare List function takes on list arguments,Chức năng So sánh Danh sách đảm nhận đối số danh sách,
Components,Các thành phần,
Connections,Kết nối,
Content,Nội dung,
Content Type,Loại nội dung,
Correct,Chính xác,
Cost Center,Trung Tâm Chi Phí,
Country,Quốc Gia,
Course,Khóa học,
Course Activity,Hoạt động khóa học,
Course Assessment Criteria,Các tiêu chí đánh giá khóa học,
Course Code,Mã khóa học,
Course Code: ,Mã khóa học:,
Course End Date,Khóa học Ngày kết thúc,
Course Enrollment,Ghi danh khóa học,
Course Enrollment {0} does not exists,Ghi danh khóa học {0} không tồn tại,
Course Name,Tên khóa học,
Course Schedule,Lịch khóa học,
Course Scheduling Failed,Lên lịch khóa học thất bại,
Course Scheduling Tool,Khóa học Lập kế hoạch cụ,
Course Start Date,Khóa học Ngày bắt đầu,
Course Start Date cannot be greater than Course End Date.,Ngày bắt đầu khóa học không thể lớn hơn Ngày kết thúc khóa học.,
Course Topic,Chủ đề khóa học,
Course and Assessment,Khóa học và đánh giá,
Course is mandatory in row {0},Khóa học là bắt buộc ở hàng {0},
Course wise Assessment Report,Báo cáo đánh giá khôn ngoan,
Course {0} has been added to all the selected programs successfully.,Khóa học {0} đã được thêm vào tất cả các chương trình đã chọn thành công.,
Course: ,Khóa học:,
Courses,Các khóa học,
Courses updated,Các khóa học được cập nhật,
Create,Tạo,
Create Fee Schedule,Tạo biểu phí,
Create Sales Order instead of Sales Invoice,Tạo đơn đặt hàng thay vì hóa đơn bán hàng,
Create Student Groups,Tạo Sinh viên nhóm,
Creating student groups,Tạo nhóm sinh viên,
Currency,Tiền tệ,
Current Academic Term,Học thuật hiện tại,
Current Academic Year,Năm học hiện tại,
Customer,Khách Hàng,
Customer Details,Chi Tiết Khách Hàng,
Customer Group,Nhóm Khách Hàng,
Customer {0} created and linked to Student,Đã tạo Khách hàng {0} và liên kết với Học sinh,
Customer {0} updated,Đã cập nhật Khách hàng {0},
Date,Ngày,
Date of Birth,Ngày Sinh,
Date of Birth cannot be greater than Joining Date.,Ngày sinh không thể lớn hơn Ngày tham gia.,
Date of Birth cannot be greater than today.,Ngày Sinh không được lớn hơn ngày hiện tại.,
Date of Leaving,Ngày Rời,
Days HTML,Ngày HTML,
Default Cost Center,Trung tâm Chi phí Mặc định,
Default Grading Scale,Mặc định Grading Scale,
Default Income Account,Tài khoản Thu nhập Mặc định,
"Defaults fetched from ""Fee Component"" Item Group ","Đã lấy các giá trị mặc định từ Nhóm Mặt Hàng ""Thành Phần Phí""",
Department,Phòng ban,
Description,Mô tả,
Designation,Chức danh,
Details,Chi tiết,
Disabled,Đã vô hiệu hóa,
Discount cannot be greater than 100%  in row {0},Chiết khấu không được lớn hơn 100% trong hàng {0},
Discount(%),Chiết khấu (%),
Do you want to update attendance? <br> Present: {0} <br> Absent: {1},Bạn có muốn cập nhật điểm danh?<br> Hiện tại: {0}<br> Vắng mặt: {1},
Documentation,Tài liệu,
Draft,Bản nháp,
Due Date,Ngày Đến Hạn,
Due Date in row {0} should be greater than or same as today's date.,Ngày Đến Hạn trong hàng {0} phải lớn hơn hoặc bằng ngày hôm nay.,
Duplicate Entry,Nhập Liệu Trùng Lặp,
Duplicate roll number for student {0},Số cuộn trùng nhau cho sinh viên {0},
Duration,Thời lượng,
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-,
EDU-ATT-.YYYY.-,EDU-ATT-.YYYY.-,
EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-,
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-,
EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-,
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-,
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-,
EDU-STU-.YYYY.-,EDU-STU-.YYYY.-,
Edit Posting Date and Time,Chỉnh sửa ngày và giờ hạch toán,
Education,Giáo dục,
Education Manager,Quản lý Giáo dục,
Education Settings,Thiết lập miền Giáo dục,
Eligibility and Details,Tính hợp lệ và chi tiết,
Email,Email,
Email Address,Địa chỉ Email,
Employee,Nhân viên,
Employee ID is linked with another instructor,ID nhân viên được liên kết với một người hướng dẫn khác,
Employee Number,Mã Số Nhân Viên,
Enable Admission Application,Bật ứng dụng nhập học,
Enabled,Đã Bật,
End on,Kết thúc vào,
Enroll,Ghi danh,
Enroll Students,Ghi danh học sinh,
Enrolled courses,Các khóa học đã ghi danh,
Enrolling student,sinh viên ghi danh,
Enrolling students,Đăng ký học sinh,
Enrollment,Tuyển sinh,
Enrollment Date,ngày đăng ký,
Enrollment Details,Chi tiết đăng ký,
Enter 0 to waive limit,Nhập 0 để từ bỏ giới hạn,
Error Log,Nhật ký lỗi,
Error during payment: {0},Lỗi trong quá trình thanh toán: {0},
Error during payment: {0} Please contact the Administrator. Amount {1} Currency {2} Formatted {3},Lỗi trong quá trình thanh toán: {0}. Vui lòng liên hệ với Quản trị viên. Số tiền {1} Tiền tệ {2} Định dạng {3},
Evaluate,Đánh giá,
Examiner,giám khảo,
Examiner Name,Tên người dự thi,
Exit,Thoát,
Fail,Thất bại,
Failed,Thất bại,
Failure Description,Mô tả lỗi,
Father,Cha,
Fee,Chi phí,
Fee Breakup (each student),Phân tích chi phí (mỗi học sinh),
Fee Category,phí Thể loại,
Fee Category Default,Loại phí Mặc định,
Fee Component,phí Component,
Fee Component {0} is not part of Fee Structure {1},Thành phần phí {0} không thuộc Cấu trúc phí {1},
Fee Records Created - {0},Hồ sơ Phí Tạo - {0},
Fee Schedule,Biểu phí,
Fee Schedule Details,Chi tiết Lịch trình Phí,
Fee Schedule Program,Chương trình Biểu phí,
Fee Schedule Student Group,Bảng sinh viên Biểu Khoản Lệ Phí,
Fee Structure,Cơ cấu phí,
Fees,Phí,
Fees Category,phí Thể loại,
Fees Collected,Phí đã Thu,
Female,Nữ,
Final Assessment Grades,Các lớp đánh giá cuối cùng,
First Name,Tên,
Following course schedules were created,Sau lịch trình khóa học đã được tạo ra,
"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.","Đối với nhóm sinh viên theo từng đợt, nhóm sinh viên sẽ được xác nhận cho mỗi sinh viên từ Chương trình đăng ký.",
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","Đối với Nhóm Sinh viên dựa trên Khóa học, khóa học sẽ được xác nhận cho mỗi Sinh viên từ các môn học ghi danh tham gia vào Chương trình Ghi danh.",
Frappe School,Trường Frappe,
Frappe Support,Hỗ Trợ Frappe,
Friday,Thứ Sáu,
From Date,Từ Ngày,
From Time,Từ Thời gian,
From Time cannot be greater than To Time.,Từ Thời gian không thể lớn hơn  Tới thời gian,
Full Name,Họ và tên,
Gender,Giới tính,
General,Chung,
Get Courses,Nhận Học,
Get Students,Nhận học sinh,
Get Students From,Nhận Sinh viên Từ,
Grade,Cấp bậc,
Grade Code,Mã lớp,
Grade Description,lớp Mô tả,
Grading Basis,Cơ sở chấm điểm,
Grading Scale,Phân loại,
Grading Scale Interval,Phân loại khoảng thời gian,
Grading Scale Intervals,Phân loại các khoảng thời gian,
Grading Scale Name,Phân loại khoảng tên,
Grand Total,Tổng cộng,
Group Based On,Dựa trên nhóm,
Group Based on,Dựa trên nhóm,
Group Roll No,Nhóm Roll No,
Group Roll Number,Số cuộn nhóm,
Guardian,người bảo vệ,
Guardian Details,Chi tiết người giám hộ,
Guardian Interest,người giám hộ lãi,
Guardian Interests,người giám hộ Sở thích,
Guardian Name,Tên người giám hộ,
Guardian Of ,người giám hộ của,
Guardian Student,người giám hộ sinh viên,
Guardian1 Email ID,ID Email Guardian1,
Guardian1 Mobile No,Số di động của Guardian1,
Guardian1 Name,Tên Guardian1,
Guardian2 Email ID,ID Email Guardian2,
Guardian2 Mobile No,Số di động Guardian2,
Guardian2 Name,Tên Guardian2,
Guardians,người giám hộ,
Guest,Khách,
Hero Image,Ảnh bìa,
House Name,Tên nhà,
"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.","Nếu được bật, thuật ngữ Học thuật của trường sẽ được bắt buộc trong Công cụ đăng ký chương trình.",
Image,Hình ảnh,
In Process,Trong Quá Trình,
In Words,Bằng Chữ,
Include Payment,Bao Gồm Thanh Toán,
Income Account,Tài khoản Thu nhập,
Institution,Tổ chức giáo dục,
Instructor,người hướng dẫn,
Instructor Log,Hướng dẫn đăng nhập,
Instructor Name,Tên giảng viên,
Instructor Records to be created by,Tài liệu hướng dẫn được tạo ra bởi,
Instructors,Giảng viên,
Interest,Lãi suất,
Interests,Sở thích,
Intervals,khoảng thời gian,
Introduction,Giới thiệu,
Invalid Enrollment {0} for student {1},Đăng ký {0} không hợp lệ cho học sinh {1},
Invalid document provided.,Chứng từ được cung cấp không hợp lệ.,
Invite as User,Mời như tài,
Invoice Created,Hóa đơn đã tạo,
Invoice Pending,Hóa đơn đang chờ,
Is Correct,Đúng,
Is Group,Là Đối tượng Nhóm (Có khả năng trở thành Đối tượng Cấp trên của các Đối tượng khác),
Is Mandatory,Là bắt buộc,
Is Time-Bound,Giới Hạn Thời Gian,
Item,Mặt Hàng,
Joining Date,Ngày vào làm,
Joining Date can not be greater than Leaving Date,Ngày tham gia không thể lớn hơn Ngày rời,
Keyboard Shortcuts,Phím tắt,
Language Name,Tên ngôn ngữ,
Last Name,Họ,
Latest Attempt,Nỗ lực mới nhất,
Latest Highest Score,Điểm cao nhất mới nhất,
Leave,Nghỉ phép,
Leave Application,Đơn Xin Nghỉ Phép,
Leave application {0} already exists against the student {1},Để lại ứng dụng {0} đã tồn tại đối với sinh viên {1},
Leave blank if you make students groups per year,Để trống nếu bạn thực hiện nhóm sinh viên mỗi năm,
Leave unchecked if you don't want to consider batch while making course based groups. ,Hãy bỏ chọn nếu bạn không muốn xem xét lô trong khi làm cho các nhóm dựa trên khóa học.,
Leaving Certificate Number,Di dời số chứng chỉ,
Ledger Entries will be created against the company mentioned here.,Các bút toán Sổ Cái sẽ được tạo đối với công ty được đề cập ở đây.,
Left,Bên Trái,
Letter Head,Tiêu Đề Thư,
Log,Đăng nhập,
Log out,Đăng xuất,
Make Academic Term Mandatory,Bắt buộc từ học thuật,
Male,Nam,
Manage Billing,Quản lý Thanh toán,
Mandatory,Bắt buộc,
Mandatory Fields,Các trường bắt buộc,
Mandatory field - Academic Year,Trường Bắt buộc - Năm Học,
Mandatory field - Get Students From,Trường bắt buộc - Lấy học sinh từ,
Mandatory field - Program,Trường bắt buộc - Chương trình,
Mark Attendance,Chấm Công,
Mark as Present,Đánh dấu như hiện tại,
Marking attendance,Đánh dấu sự tham dự,
Max Attempts,Nỗ lực tối đa,
Max Strength,Sức tối đa,
Max strength cannot be less than zero.,Sức mạnh tối đa không thể nhỏ hơn không.,
Maximum Age,Tuổi tối đa,
Maximum Assessment Score,Điểm đánh giá tối đa,
Maximum Score,Điểm tối đa,
Maximum attempts for this quiz reached!,Đạt được tối đa cho bài kiểm tra này!,
Medical,Y tế,
Middle Name,Tên Đệm,
Minimum Age,Tuổi tối thiểu,
Mobile,Điện Thoại Di Động,
Mobile Number,Số Điện Thoại Di Động,
Monday,Thứ Hai,
Month,Tháng,
Mother,Mẹ,
Multiple Correct Answer,Nhiều câu trả lời đúng,
My Profile,Hồ sơ của tôi,
My Settings,Cài đặt của tôi,
NO,KHÔNG,
Name,Tên,
Naming Series,Loạt đặt tên,
Naming Series (for Student Applicant),Đặt tên Series (cho sinh viên nộp đơn),
Nationality,Quốc tịch,
New Academic Term,Kỳ học mới,
New Academic Year,Năm học mới,
New Program,Chương trình mới,
New Student Batch,Batch Student mới,
Newsletter,Đăng ký nhận bản tin,
No Academic Terms found for Academic Year {0},Không tìm thấy kỳ học nào cho năm học {0},
No Result to submit,Không có kết quả để gửi,
No Student Groups created.,Không có nhóm học sinh được tạo ra.,
No Students in,Không có học sinh trong,
No attendance has been marked for {0} as it is a Holiday,Không có điểm danh nào được đánh dấu cho {0} vì đó là Ngày lễ,
No classes found in the leave period,Không tìm thấy lớp học nào trong thời gian nghỉ phép,
No correct answer is set for {0},Không có câu trả lời đúng được đặt cho {0},
No students Found,Không tìm thấy sinh viên,
No students found,Không có học sinh Tìm thấy,
No. of Meetings Attended by Parents,Số lượng cuộc họp có phụ huynh tham dự,
Not eligible for the admission in this program as per Date Of Birth,Không đủ điều kiện để được nhận vào chương trình này theo Ngày sinh,
O+,O+,
O-,O-,
Occupation,Nghề Nghiệp,
"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Chỉ học sinh có tình trạng &quot;Chấp nhận&quot; sẽ được chọn trong bảng dưới đây.,
Option,Tùy chọn,
Options,Các tùy chọn,
Order Created,Đơn hàng đã được tạo,
Order ID,ID đơn hàng,
Order Pending,Đơn hàng đang chờ xử lý,
Other Details,Chi tiết khác,
Other details,Các chi tiết khác,
Others,Khác,
Outstanding Amount,Số tiền còn tồn đọng,
Outstanding Amt,Số tiền còn tồn đọng,
Overdue,Quá hạn,
Paid,Đã thanh toán,
Paid Amount,Số tiền đã thanh toán,
Parent Assessment Group,Nhóm đánh giá gốc,
Parents Teacher Meeting Attendance,Phụ huynh tham dự buổi họp của phụ huynh,
Pass,Vượt qua,
Passing Score,Điểm vượt qua,
Passing Score value should be between 0 and 100,Giá trị Điểm vượt qua phải nằm trong khoảng từ 0 đến 100,
Payment,Thanh toán,
Payment ID ,ID thanh toán,
Payment Record,Bản ghi Thanh toán,
Payment Request,Yêu Cầu Thanh Toán,
Payment for {0} course,Thanh toán cho khóa học {0},
Payment request {0} created,Đã tạo yêu cầu thanh toán {0},
Payments,Các Khoản Thanh Toán,
Personal Details,Thông tin chi tiết cá nhân,
Pincode,Pincode,
Please add programs to enable admission application.,Vui lòng thêm các chương trình để kích hoạt ứng dụng nhập học.,
Please define grade for Threshold 0%,Vui lòng xác định mức cho ngưỡng 0%,
Please enter the Academic Year and set the Start and End date.,Vui lòng nhập Năm Học và đặt ngày Bắt Đầu và Kết Thúc.,
Please fill in all the details to generate Assessment Result.,Vui lòng điền vào tất cả các chi tiết để tạo Kết quả Đánh giá.,
Please fill in all the mandatory fields.,Vui lòng điền vào tất cả các trường bắt buộc.,
Please select Course,Vui lòng chọn khóa học,
Please select Employee,Vui lòng chọn Nhân viên,
Please select Program,Vui lòng chọn Chương trình,
Please select a Program first.,Vui lòng chọn một Chương trình trước.,
Please select at least one day to schedule the course.,Vui lòng chọn ít nhất một ngày để lên lịch khóa học.,
Please select date,Vui lòng chọn ngày,
Please select the assessment group other than 'All Assessment Groups',Vui lòng chọn nhóm đánh giá khác với &#39;Tất cả các Nhóm Đánh giá&#39;,
Please set Email Address,Hãy thiết lập Địa chỉ Email,
Please set a default Holiday List for Company {0},Vui lòng đặt Danh sách ngày lễ mặc định cho Công ty {0},
Please set default Academic Year in Education Settings,Vui lòng đặt Năm học mặc định trong Cài đặt giáo dục,
Please set the Email ID for the Student to send the Payment Request,Vui lòng đặt ID Email cho Sinh viên để gửi yêu cầu Thanh toán,
Please setup Instructor Naming System in Education > Education Settings,Vui lòng thiết lập Hệ thống đặt tên giảng viên trong giáo dục&gt; Cài đặt giáo dục,
Please setup Students under Student Groups,Xin vui lòng thiết lập Sinh viên theo Nhóm sinh viên,
Portal Settings,Thiết lập cổng,
Posting Date,Ngày Hạch Toán,
Posting Time,Thời Gian Hạch Toán,
Present,Có mặt,
Present ,Hiện tại,
Print Heading,Tiêu Đề In,
Print Report Card,In Báo cáo Thẻ,
Print Settings,Thiết Lập In,
Printing Settings,Cài đặt in,
Program,Chương trình,
Program Abbreviation,Tên viết tắt chương trình,
Program Course,Khóa học chương trình,
Program Enrollment,chương trình tuyển sinh,
Program Enrollment Course,Khóa học ghi danh chương trình,
Program Enrollment Fee,Chương trình Lệ phí đăng ký,
Program Enrollment Tool,Chương trình Công cụ ghi danh,
Program Enrollment Tool Student,Chương trình học sinh ghi danh Công cụ,
Program Fee,Phí chương trình,
Program Name,Tên chương trình,
Program and Course,Chương trình và khóa học,
Program in the Fee Structure and Student Group {0} are different.,Chương trình trong Cấu trúc Phí và Nhóm Sinh viên {0} khác.,
Program wise Fee Collection,Chương trình thu phí khôn ngoan,
Program: ,Chương trình:,
Programs,Các chương trình,
Programs updated,Các chương trình được cập nhật,
Publish Date,Ngày xuất bản,
Publish on website,Đăng lên trang web,
Question,Câu hỏi,
Question Link,Liên kết câu hỏi,
Quiz,Đố,
Quiz Activity,Hoạt động đố vui,
Quiz Configuration,Cấu hình câu đố,
Quiz Question,Câu hỏi trắc nghiệm,
Quiz Result,Kết quả bài kiểm tra,
Quiz {0} does not exist,Câu đố {0} không tồn tại,
Razorpay Data,Dữ liệu Razorpay,
Razorpay Key,Khóa Razorpay,
Razorpay Secret,Mật khẩu Razorpay,
Reason,Lý do,
Reason For Leaving,Lý do để rời,
Receivable Account,Tài khoản Phải thu,
Reject,Từ chối,
Rejected,Bị từ chối,
Relation,Quan hệ,
Relation with Guardian1,Mối quan hệ với Guardian1,
Relation with Guardian2,Mối quan hệ với Guardian2,
Relations,Quan hệ,
Reload,Tải lại,
Remaining,Còn lại,
Report,Báo cáo,
Report Settings,Cài đặt báo cáo,
Report an Issue,Báo cáo sự cố,
Reports,Báo cáo,
Reschedule,Sắp xếp lại,
Result,Kết quả,
Result HTML,kết quả HTML,
Result already Submitted,Kết quả Đã gửi,
Room,Phòng,
Room Name,Tên phòng,
Room Number,Số phòng,
Route,Tuyến đường,
Row {0}:Sibling Date of Birth cannot be greater than today.,Hàng {0}: Ngày sinh của anh chị em không thể lớn hơn ngày hôm nay.,
Sales Invoice Posting Date should be same as Fee Schedule Posting Date,Ngày hạch toán Hóa đơn bán hàng phải giống với Ngày hạch toán Biểu phí,
Sales Order Posting Date should be same as Fee Schedule Posting Date,Ngày hạch toán Đơn hàng bán phải giống với Ngày hạch toán Biểu phí,
Saturday,Thứ Bảy,
Saved,Lưu,
Schedule,Lịch trình,
Schedule Course,lịch học,
Schedule Date,Ngày lên lịch,
Schedule date selected does not lie within the Academic Term of the Student Group {0}.,Ngày lên lịch đã chọn không nằm trong Học kỳ của Nhóm Học sinh {0}.,
Schedule date selected does not lie within the Academic Year of the Student Group {0}.,Ngày lên lịch đã chọn không nằm trong Năm học của Nhóm Học sinh {0}.,
Scheduled Upto,Lên lịch Upto,
Scheduling...,Đang lên lịch...,
School / College Logo,Logo Trường học / Cao đẳng,
School / College Name Abbreviation,Chữ viết tắt Tên Trường học / Cao đẳng,
School House,School House,
Score,Điểm số,
Score cannot be greater than Maximum Score,Điểm không thể lớn hơn số điểm tối đa,
Score out of 100,Điểm trên 100,
Seating Capacity,Dung ngồi,
Select students manually for the Activity based Group,Chọn sinh viên theo cách thủ công cho Nhóm dựa trên Hoạt động,
Select the program first,Chọn chương trình đầu tiên,
Selected Option,Tùy chọn đã chọn,
Send Payment Request,Gửi yêu cầu thanh toán,
Send Payment Request Email,Gửi Email yêu cầu thanh toán,
Separate course based Group for every Batch,Khóa học riêng biệt cho từng nhóm,
Series,Dãy,
Session Defaults,Cài đặt mặc định phiên,
Set 0 for no limit,Đặt 0 để không giới hạn,
Show Marks,Hiển thị Nhãn hiệu,
Sibling Details,Thông tin chi tiết anh chị em ruột,
Siblings,Anh chị em ruột,
Signature,Chữ ký,
Single Correct Answer,Câu trả lời đúng,
Skip User creation for new Student,Bỏ qua Tạo người dùng cho Sinh viên mới,
Start on,Bắt đầu vào,
State,Trạng thái,
Status,Tình trạng,
Student,Sinh viên,
Student Address,Địa chỉ của sinh viên,
Student Admission,Nhập học sinh viên,
Student Admission Program,Chương trình nhập học cho sinh viên,
Student Admissions,Tuyển sinh,
Student Applicant,sinh viên nộp đơn,
Student Attendance,Tham dự sinh,
Student Attendance Tool,Công cụ điểm danh sinh viên,
Student Attendance record {0} already exists against the Student {1},Hồ sơ chuyên cần của Học sinh {0} đã tồn tại đối với Học sinh {1},
Student Batch,hàng loạt sinh viên,
Student Batch Name,Tên sinh viên hàng loạt,
